Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2022,822.65,824.50,805.00,806.70,813.264266769336071184,46752,2832,38021731.00,15394,32.93,19.50,-15.95
29-December-2022,805.20,824.40,800.40,819.45,810.609172797241848155,82374,2778,66773120.00,12063,14.64,24.00,14.25
28-December-2022,813.00,814.15,801.60,803.45,806.575111685236019161,37158,1695,29970718.00,13842,37.25,12.55,-9.55
27-December-2022,811.35,819.15,805.00,814.75,812.036584910590958300,53574,3331,43504048.00,22721,42.41,14.15,3.40
26-December-2022,802.65,815.25,801.75,811.20,808.645688113572497354,54802,2829,44315401.00,15450,28.19,13.50,8.55
23-December-2022,806.10,817.65,805.20,808.30,810.488969911969517803,152220,9781,123372631.00,101631,66.77,12.45,2.20
22-December-2022,817.00,824.45,809.40,816.90,818.209981135311267364,58310,2431,47709824.00,22336,38.31,15.05,-0.10
21-December-2022,834.60,834.60,812.45,813.75,820.759852824033683571,52726,3416,43275384.00,20057,38.04,22.15,-20.85
20-December-2022,840.40,840.40,822.00,827.55,826.910359314944089237,109013,3593,90143979.00,77462,71.06,18.40,-12.85
19-December-2022,822.00,844.80,822.00,839.80,837.498861470300345165,97055,3196,81283452.00,20733,21.36,22.80,17.80
16-December-2022,823.05,832.50,819.50,822.05,825.469659311348205625,98976,2537,81701685.00,72708,73.46,13.00,-1.00
15-December-2022,830.00,830.80,824.50,826.10,826.106291541878667097,89819,1551,74200041.00,69725,77.63,6.30,-3.90
14-December-2022,839.00,842.00,828.55,828.90,831.043904203529819590,132698,3594,110277864.00,88436,66.64,13.45,-10.10
13-December-2022,827.35,840.00,823.20,838.10,830.582961688117330140,133640,3022,110999107.00,92867,69.49,16.80,10.75
12-December-2022,831.25,837.00,825.50,827.90,829.325788154751125935,171191,8820,141973111.00,123894,72.37,11.50,-3.35
9-December-2022,830.00,836.20,824.00,835.00,831.991094010391138123,204020,4832,169742823.00,132923,65.15,12.20,5.00
8-December-2022,834.00,840.20,826.40,833.05,836.835037827816153823,267528,8676,223876804.00,202364,75.64,13.80,-0.95
7-December-2022,838.00,841.50,832.00,834.40,837.259311508311639203,68759,3093,57569113.00,44190,64.27,9.50,-3.60
6-December-2022,845.00,845.45,829.75,833.20,837.251705341046798926,233531,3377,195524228.00,196755,84.25,15.70,-11.80
5-December-2022,846.00,850.55,840.80,843.90,844.478547537580254507,52022,3195,43931463.00,23223,44.64,9.75,-2.10
2-December-2022,848.50,852.00,839.45,848.85,844.694293764735197715,52171,1935,44068546.00,21319,40.86,12.55,0.35
1-December-2022,850.00,853.00,841.60,848.00,845.613757578957980288,208307,5911,176147265.00,148400,71.24,11.40,-2.00
30-November-2022,835.00,852.05,832.45,848.65,843.068496986066734740,60718,2894,51189433.00,33855,55.76,19.60,13.65
29-November-2022,838.15,844.85,835.05,835.70,839.134873119011813220,211458,6984,177441782.00,155818,73.69,9.80,-2.45
28-November-2022,838.50,852.50,836.05,837.45,842.320188539639911210,36491,1955,30737106.00,13225,36.24,16.45,-1.05
25-November-2022,850.55,877.10,841.80,846.80,855.801883619239825092,80271,2989,68696073.00,31458,39.19,35.30,-3.75
24-November-2022,851.85,851.85,837.80,848.25,842.529104726428218305,86979,3158,73282339.00,20770,23.88,14.05,-3.60
23-November-2022,852.00,852.00,841.65,842.60,845.729734082819269734,62087,3051,52508822.00,23743,38.24,10.35,-9.40
22-November-2022,854.70,860.20,845.30,847.15,852.278074298091462667,122345,4522,104271961.00,47692,38.98,14.90,-7.55
21-November-2022,837.00,852.50,835.80,851.20,845.069630786562884063,78112,2875,66010079.00,28375,36.33,16.70,14.20
18-November-2022,850.00,851.70,831.10,837.00,836.975587149477652973,318275,8916,266388405.00,,,20.60,-13.00
17-November-2022,844.80,849.20,838.30,846.05,844.482059604603127766,67780,2621,57238994.00,16367,24.15,10.90,1.25
