Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2022,2115.00,2132.60,2081.50,2086.30,2104.977284384846486407,27294,2571,57453250.00,10222,37.45,51.10,-28.70
29-December-2022,2101.10,2120.00,2094.45,2110.60,2106.437120880495278594,15991,1525,33684036.00,7013,43.86,25.55,9.50
28-December-2022,2130.00,2136.00,2115.10,2120.80,2126.342925827791328151,56989,6394,121178157.00,35813,62.84,20.90,-9.20
27-December-2022,2091.05,2128.35,2086.00,2123.75,2109.156206577119036591,34544,2626,72858692.00,18955,54.87,42.35,32.70
26-December-2022,2052.10,2108.00,2052.10,2087.90,2091.570200139279983044,33027,3012,69078289.00,11833,35.83,55.90,35.80
23-December-2022,2092.00,2103.95,2050.25,2062.05,2073.428948421817319239,67451,5203,139854856.00,48798,72.35,53.70,-29.95
22-December-2022,2145.00,2147.15,2096.50,2109.40,2117.888216268193539927,45758,4781,96910329.00,27639,60.40,50.65,-35.60
21-December-2022,2158.95,2174.05,2142.50,2145.95,2154.305811676165746099,45443,3680,97898119.00,21837,48.05,31.55,-13.00
20-December-2022,2189.95,2189.95,2138.10,2163.05,2151.135054710747674500,42679,4677,91808293.00,16525,38.72,51.85,-26.90
19-December-2022,2173.80,2186.00,2155.70,2184.10,2170.495428096425602660,33684,2927,73110968.00,14301,42.46,30.30,10.30
16-December-2022,2160.00,2210.50,2160.00,2173.80,2188.120911229416862696,40385,3302,88367263.00,18036,44.66,50.50,13.80
15-December-2022,2195.00,2208.00,2174.00,2176.75,2193.736282433007230965,28212,2034,61889688.00,12009,42.57,34.00,-18.25
14-December-2022,2174.10,2209.80,2174.10,2194.70,2192.817315722198551342,234700,2836,514654224.00,15388,6.56,35.70,20.60
13-December-2022,2172.00,2176.00,2152.90,2171.60,2166.029745042492917847,30358,5211,65756331.00,13918,45.85,23.10,-0.40
12-December-2022,2150.00,2168.80,2134.45,2161.95,2153.851439288096766479,79449,9617,171121343.00,53204,66.97,34.35,11.95
9-December-2022,2167.00,2193.45,2137.35,2154.30,2171.969441614964348550,64794,7041,140730588.00,38287,59.09,56.10,-12.70
8-December-2022,2130.00,2173.95,2122.00,2167.30,2151.132063768574972945,75774,6685,162999881.00,46450,61.30,51.95,37.30
7-December-2022,2084.05,2143.45,2084.05,2123.50,2125.131662883460210643,137009,11387,291162164.00,70700,51.60,59.40,39.45
6-December-2022,2076.05,2100.00,2067.20,2093.85,2086.905082595222409291,40983,2426,85527631.00,27742,67.69,32.80,17.80
5-December-2022,2089.05,2096.45,2068.80,2085.45,2080.206755551149881046,40352,3418,83940503.00,25182,62.41,27.65,-3.60
2-December-2022,2090.05,2097.90,2069.80,2084.45,2080.492068405169078387,38769,4264,80658597.00,19314,49.82,28.10,-5.60
1-December-2022,2081.20,2109.55,2080.00,2103.60,2098.043185758687089016,125157,11156,262584791.00,97577,77.96,29.55,22.40
30-November-2022,2058.95,2085.00,2045.50,2077.30,2063.292564206949041542,56497,4123,116569840.00,42912,75.95,39.50,18.35
29-November-2022,2064.25,2071.00,2040.00,2049.65,2051.189648729446935724,26760,2596,54889835.00,10989,41.06,31.00,-14.60
28-November-2022,2062.30,2071.40,2053.05,2064.10,2061.832252755473542466,40102,3948,82683597.00,25172,62.77,18.35,1.80
25-November-2022,2055.00,2095.00,2055.00,2062.30,2076.831202545234516815,102466,8700,212804586.00,53457,52.17,40.00,7.30
24-November-2022,2030.00,2060.00,2029.25,2054.20,2046.919454638559358197,46868,3653,95935021.00,29959,63.92,30.75,24.20
23-November-2022,2040.00,2043.05,2017.30,2024.40,2026.068888233559421999,33910,3141,68703996.00,19001,56.03,25.75,-15.60
22-November-2022,2015.05,2032.55,2015.05,2030.20,2026.845181812875736882,34266,2131,69451877.00,21067,61.48,17.50,15.15
21-November-2022,2024.35,2032.85,2006.70,2010.85,2015.004889557546331122,29246,1883,58930833.00,8820,30.16,26.15,-13.50
18-November-2022,2034.40,2050.00,2006.20,2024.40,2022.603934117180135932,40314,4950,81539255.00,21162,52.49,43.80,-10.00
17-November-2022,2004.00,2058.40,2000.40,2028.30,2041.905849593213956576,100913,7097,206054845.00,52992,52.51,58.00,24.30
16-November-2022,1993.20,2009.40,1985.10,2003.35,2000.047465251744621950,34678,2536,69357646.00,21700,62.58,24.30,10.15
15-November-2022,1997.30,2016.50,1978.35,1995.85,1998.413650885234691369,93591,3569,187033532.00,75295,80.45,38.15,-1.45
14-November-2022,2010.95,2021.00,1996.00,1999.90,2004.632624728850325379,23050,1830,46206782.00,12839,55.70,25.00,-11.05
11-November-2022,1995.05,2018.70,1992.40,2010.95,2006.768280817304094004,53444,4756,107249724.00,30412,56.90,26.30,15.90
10-November-2022,1982.10,2002.65,1970.15,1977.65,1983.177912114722546016,36889,4451,73157450.00,17668,47.90,32.50,-4.45
9-November-2022,2018.90,2036.95,1996.30,2003.85,2016.533403401490540798,52330,4747,105525193.00,26908,51.42,40.65,-15.05
7-November-2022,2015.50,2031.85,1993.00,2018.90,2014.377762572699281560,29230,2273,58880262.00,13623,46.61,38.85,3.40
4-November-2022,1998.75,2028.75,1998.75,2014.90,2016.367004588624479778,46855,2865,94476876.00,30712,65.55,30.00,16.15
3-November-2022,2009.70,2021.60,1994.00,2006.90,2012.173144361321879837,1125246,2711,2264189782.00,1109441,98.60,27.60,-2.80
2-November-2022,2032.00,2041.20,2000.00,2012.60,2014.825764141303082435,77309,6074,155764165.00,50026,64.71,41.20,-19.40
1-November-2022,2030.00,2055.00,1990.00,2024.85,2022.834586546472133808,187252,15326,378779822.00,95841,51.18,65.00,-5.15
31-October-2022,1976.00,2033.80,1976.00,2023.95,2008.407884735223825404,146029,10475,293285795.00,112549,77.07,57.80,47.95
28-October-2022,1970.00,1985.55,1963.15,1974.65,1977.061103842612782865,82548,6940,163202440.00,54226,65.69,22.40,4.65
27-October-2022,1947.90,1971.05,1947.70,1964.30,1951.852373824200390898,152981,4063,298596328.00,127615,83.42,23.35,16.40
25-October-2022,1911.05,1954.85,1892.60,1947.90,1934.704203971279141920,90248,7212,174603185.00,66312,73.48,62.25,36.85
24-October-2022,1909.00,1920.00,1900.00,1910.10,1913.393762053601117244,15037,1883,28771702.00,8188,54.45,20.00,1.10
21-October-2022,1908.45,1925.00,1866.95,1875.55,1901.661575824340902831,39941,3939,75954265.00,18532,46.40,58.05,-32.90
20-October-2022,1895.10,1917.05,1887.00,1904.25,1904.210547295411966357,25087,2916,47770930.00,11520,45.92,30.05,9.15
19-October-2022,1918.00,1946.70,1902.00,1904.90,1921.195553323111087611,37826,2953,72671143.00,15550,41.11,44.70,-13.10
18-October-2022,1888.55,1931.00,1888.55,1917.40,1918.703136114805307271,64666,4972,124074857.00,41896,64.79,42.45,28.85
17-October-2022,1900.00,1914.00,1879.00,1883.80,1910.610499610501715897,949940,3460,1814965338.00,924550,97.33,35.00,-16.20
14-October-2022,1890.05,1936.55,1890.05,1911.55,1922.755515985099676613,48858,3806,93941989.00,25651,52.50,46.50,21.50
13-October-2022,1903.90,1912.00,1868.15,1876.00,1883.687209431038299756,36136,3635,68068921.00,14085,38.98,43.85,-27.90
12-October-2022,1871.65,1915.20,1858.00,1911.45,1884.558172496456630912,57149,6598,107700615.00,25946,45.40,57.20,39.80
11-October-2022,1915.00,1919.10,1871.50,1879.55,1908.687162465828234351,941201,2854,1796458266.00,927723,98.57,47.60,-35.45
10-October-2022,1910.00,1916.30,1884.00,1908.70,1901.037469221710737608,37364,2867,71030364.00,15967,42.73,32.30,-1.30
7-October-2022,1906.00,1928.30,1902.65,1924.40,1918.667380398112761269,80329,6146,154124632.00,64527,80.33,25.65,18.40
6-October-2022,1881.20,1918.95,1881.20,1913.40,1906.837169413346313422,43143,3400,82266676.00,23837,55.25,37.75,32.20
4-October-2022,1841.20,1880.00,1841.20,1871.45,1865.003785873133538070,37772,3560,70444923.00,22886,60.59,38.80,30.25
3-October-2022,1848.70,1850.00,1814.00,1819.30,1828.197656617100935231,65973,9059,120611684.00,37615,57.02,36.00,-29.40
30-September-2022,1828.95,1882.30,1816.50,1848.70,1849.233770498981893022,45673,3691,84460054.00,20564,45.02,65.80,19.75
29-September-2022,1839.05,1856.40,1798.00,1814.80,1818.142036263550544436,41419,4011,75305625.00,13343,32.21,58.40,-24.25
28-September-2022,1834.75,1856.40,1828.00,1833.10,1835.262580738139845664,76327,4649,140080087.00,44441,58.22,28.40,-1.65
27-September-2022,1849.15,1863.40,1833.00,1840.10,1843.847513926853742085,28901,2862,53289037.00,6302,21.81,30.40,-9.05
26-September-2022,1845.10,1876.90,1818.00,1851.30,1841.648775594500501563,84735,10623,156052109.00,49562,58.49,58.90,6.20
23-September-2022,1890.00,1895.00,1852.25,1857.45,1870.466955250073120795,85475,5351,159878163.00,59323,69.40,42.75,-32.55
22-September-2022,1874.00,1905.00,1872.50,1887.45,1890.687221664994984954,74775,5962,141376137.00,31230,41.77,32.50,13.45
21-September-2022,1913.35,1946.00,1892.00,1895.80,1911.565290299670539959,50689,3476,96895333.00,33608,66.30,54.00,-17.55
20-September-2022,1916.55,1956.35,1916.55,1932.15,1941.677780765438738012,33471,2793,64989897.00,15479,46.25,39.80,15.60
19-September-2022,1921.00,1931.00,1905.05,1910.20,1919.289765815085158150,683904,5429,1312609948.00,666207,97.41,25.95,-10.80
16-September-2022,1955.00,1957.00,1912.35,1919.60,1930.057041856370613884,72701,7813,140317077.00,36950,50.82,44.65,-35.40
15-September-2022,1955.05,1984.00,1954.05,1957.70,1964.508612838593843511,76862,5676,150996061.00,45607,59.34,29.95,2.65
14-September-2022,1958.00,1973.00,1950.10,1955.05,1959.933992975242011479,70038,6834,137269857.00,27639,39.46,22.90,-2.95
13-September-2022,1961.70,1995.00,1957.55,1991.45,1972.191142816426781118,119293,5899,235268598.00,89771,75.25,37.45,29.75
12-September-2022,1943.10,1967.00,1943.10,1961.65,1960.409764469498241893,71668,4137,140498647.00,53523,74.68,23.90,18.55
9-September-2022,1974.00,1986.60,1944.25,1949.40,1957.194169373366077794,75738,5217,148233972.00,53443,70.56,42.35,-24.60
8-September-2022,1958.35,1976.00,1948.10,1974.20,1965.454432700012073715,91107,8155,179066657.00,71120,78.06,27.90,15.85
7-September-2022,1950.00,1960.95,1934.00,1958.35,1949.177883264985113195,35602,3271,69394631.00,14446,40.58,26.95,8.35
6-September-2022,1975.00,1985.50,1951.60,1961.70,1963.433730454206999255,67150,4396,131844575.00,22912,34.12,33.90,-13.30
5-September-2022,1945.70,1972.05,1942.85,1968.25,1962.076284631778356618,84460,5758,165716963.00,40568,48.03,29.20,22.55
2-September-2022,1902.00,1958.60,1900.05,1940.05,1938.672693840024517315,84838,4728,164473114.00,32324,38.10,58.55,38.05
1-September-2022,1905.05,1919.80,1893.00,1911.55,1902.588305782109133357,452309,3532,860557814.00,423928,93.73,26.80,6.50
30-August-2022,1897.40,1926.20,1889.30,1921.75,1912.817767753840746327,68281,4202,130609110.00,43404,63.57,36.90,24.35
29-August-2022,1855.00,1889.40,1855.00,1880.80,1876.385017860583692768,67467,6592,126594068.00,37875,56.14,34.40,25.80
26-August-2022,1885.05,1911.60,1885.05,1905.40,1900.056747693430403280,57553,3753,109353966.00,19876,34.54,26.55,20.35
25-August-2022,1897.50,1917.40,1873.75,1877.80,1899.477751423149905123,42160,3313,80081982.00,16600,39.37,43.65,-19.70
24-August-2022,1880.00,1897.90,1851.55,1893.30,1878.569338925018740250,49359,3371,92724304.00,15743,31.89,46.35,13.30
23-August-2022,1873.00,1911.90,1867.80,1876.05,1890.660655679223744292,56064,3653,105997999.00,21861,38.99,44.10,3.05
22-August-2022,1938.85,1943.00,1874.25,1880.25,1906.976908726107923545,85227,6820,162525921.00,30771,36.10,68.75,-58.60
19-August-2022,1898.50,1942.00,1895.00,1935.85,1924.784621494167287168,100725,6696,193873931.00,56976,56.57,47.00,37.35
18-August-2022,1857.00,1897.60,1849.65,1894.20,1868.948000553185604408,94001,5900,175682981.00,43248,46.01,47.95,37.20
17-August-2022,1851.05,1867.30,1850.05,1855.35,1858.270714991691194838,92071,3399,171092843.00,71336,77.48,17.25,4.30
16-August-2022,1850.00,1861.75,1841.55,1848.45,1851.469939306027407718,26197,2355,48502958.00,11217,42.82,20.20,-1.55
12-August-2022,1855.20,1868.95,1837.50,1844.00,1849.979835028429566749,62435,5513,115503491.00,40203,64.39,31.45,-11.20
11-August-2022,1863.00,1879.05,1855.20,1867.25,1870.116933362746262578,58931,3789,110207861.00,36174,61.38,23.85,4.25
10-August-2022,1828.00,1866.95,1822.15,1854.65,1853.028564848072736445,182357,5184,337912730.00,143892,78.91,44.80,26.65
8-August-2022,1785.10,1831.95,1785.10,1829.45,1816.861396580352735269,178264,16783,323880980.00,129200,72.48,46.85,44.35
5-August-2022,1780.00,1806.30,1775.40,1787.55,1790.689287929035563104,74178,6103,132829750.00,42235,56.94,30.90,7.55
4-August-2022,1786.20,1814.70,1774.90,1780.20,1793.253017484489565707,35460,3206,63588752.00,13936,39.30,39.80,-6.00
3-August-2022,1787.20,1803.05,1773.45,1789.45,1784.422459524629693420,29030,2624,51801784.00,15556,53.59,29.60,2.25
2-August-2022,1809.70,1811.35,1775.90,1792.50,1789.896113666652336528,46522,3894,83269547.00,17114,36.79,35.45,-17.20
1-August-2022,1807.70,1817.25,1790.00,1814.20,1807.915195770297212977,1037236,3568,1875234726.00,1019175,98.26,27.25,6.50
29-July-2022,1811.00,1832.00,1794.15,1807.65,1812.227622339980143303,83599,7204,151500417.00,49671,59.42,37.85,-3.35
28-July-2022,1800.00,1815.60,1786.75,1801.25,1798.365151957445428302,92493,7826,166336188.00,52976,57.28,28.85,1.25
27-July-2022,1758.00,1819.00,1750.00,1797.20,1797.754725787631271878,132835,8748,238804749.00,50731,38.19,69.00,39.20
26-July-2022,1782.00,1785.00,1742.00,1750.45,1753.347169811320754716,61480,4178,107795784.00,35744,58.14,43.00,-31.55
25-July-2022,1759.05,1785.00,1759.05,1781.90,1776.776183743945117852,86294,6375,153325124.00,56574,65.56,25.95,22.85
22-July-2022,1755.30,1779.25,1752.75,1767.90,1765.756524607790430575,81844,6262,144516577.00,51399,62.80,26.50,12.60
21-July-2022,1727.00,1769.00,1715.00,1765.15,1749.749042679988841832,78866,7215,137995708.00,45201,57.31,54.00,38.15
20-July-2022,1740.20,1747.00,1728.00,1740.00,1738.052446197738720016,28391,2000,49345047.00,9947,35.04,19.00,-0.20
19-July-2022,1725.85,1734.50,1714.45,1728.15,1727.413019356429540130,48666,1564,84066282.00,34097,70.06,20.05,2.30
18-July-2022,1700.00,1734.30,1694.25,1727.25,1690.876749689303529171,1174780,6574,1986408188.00,1135929,96.69,40.05,27.25
15-July-2022,1648.00,1688.20,1648.00,1684.60,1671.394246384657025752,25862,1886,43225598.00,9517,36.80,40.20,36.60
14-July-2022,1652.00,1666.05,1633.75,1646.05,1648.017719976691211527,37754,3311,62219261.00,13066,34.61,32.30,-5.95
13-July-2022,1664.00,1684.05,1644.15,1647.90,1669.527601711056296250,64054,4641,106939921.00,23796,37.15,39.90,-16.10
12-July-2022,1658.80,1672.20,1650.00,1653.80,1661.673275178429817605,34047,2246,56574990.00,9429,27.69,22.20,-5.00
11-July-2022,1688.00,1688.60,1653.50,1662.70,1666.458151268075138519,44398,2966,73987409.00,12490,28.13,35.10,-25.30
8-July-2022,1618.00,1702.00,1618.00,1687.40,1676.672833170413815575,245520,16708,411656714.00,112433,45.79,84.00,69.40
7-July-2022,1565.00,1614.50,1565.00,1611.30,1592.110898979920302804,90091,6199,143434863.00,39439,43.78,49.50,46.30
6-July-2022,1558.15,1590.10,1552.20,1556.55,1560.539975166167555328,136910,6748,213653528.00,109263,79.81,37.90,-1.60
5-July-2022,1585.00,1597.25,1561.70,1564.45,1586.312231500699908287,82868,4251,131454522.00,49673,59.94,35.55,-20.55
