Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2022,2547.00,2576.90,2542.55,2548.20,2560.573073447786239834,77470,7964,198367596.00,18712,24.15,34.35,1.20
29-December-2022,2532.05,2549.00,2526.50,2542.55,2536.476648709843603915,157229,13560,398807687.00,103570,65.87,22.50,10.50
28-December-2022,2535.90,2549.90,2521.25,2544.45,2537.520509101672339795,168925,13441,428650652.00,105693,62.57,28.65,8.55
27-December-2022,2529.00,2548.80,2514.35,2545.05,2534.556939357379745397,184837,18372,468479901.00,91598,49.56,34.45,16.05
26-December-2022,2513.70,2542.05,2493.95,2524.50,2522.321150741230001467,95382,7874,240584036.00,28581,29.96,48.10,10.80
23-December-2022,2564.00,2589.75,2493.00,2501.55,2541.287539842485845539,307147,38425,780548844.00,157324,51.22,96.75,-62.45
22-December-2022,2595.20,2606.65,2565.90,2577.90,2583.664124761025068201,93106,9175,240554632.00,32813,35.24,40.75,-17.30
21-December-2022,2622.00,2633.60,2576.35,2584.40,2602.003754402714523474,77509,8722,201678709.00,27381,35.33,57.25,-37.60
20-December-2022,2593.95,2626.00,2566.60,2621.15,2592.252180514028102681,129098,12996,334654572.00,47647,36.91,59.40,27.20
19-December-2022,2583.95,2603.25,2567.70,2600.00,2583.293000695050354179,67621,6588,174684856.00,19050,28.17,35.55,16.05
16-December-2022,2570.00,2619.00,2558.10,2565.10,2591.142752639962244115,169510,18159,439224608.00,51096,30.14,60.90,-4.90
15-December-2022,2609.50,2614.90,2571.00,2578.75,2586.912954891561203591,95215,7713,246312917.00,51216,53.79,43.90,-30.75
14-December-2022,2631.20,2639.50,2611.00,2614.90,2621.790092339583529633,42452,5302,111300233.00,15669,36.91,28.50,-16.30
13-December-2022,2617.00,2633.20,2606.75,2624.20,2620.798164295548416704,65370,9896,171321576.00,26008,39.79,26.45,7.20
12-December-2022,2590.00,2623.00,2585.00,2612.25,2607.771418375236849036,117691,12262,306911226.00,47056,39.98,38.00,22.25
9-December-2022,2648.90,2660.60,2602.15,2609.10,2628.873822903035434788,155892,15996,409820398.00,81206,52.09,58.45,-39.80
8-December-2022,2665.50,2665.50,2640.05,2649.50,2651.144897631902496391,93535,7925,247974838.00,51778,55.36,25.45,-16.00
7-December-2022,2686.80,2694.35,2643.00,2649.90,2668.939274427576229882,116129,11141,309941249.00,54491,46.92,51.35,-36.90
6-December-2022,2660.00,2697.00,2660.00,2688.25,2684.595153207005193714,197739,14549,530849161.00,95692,48.39,37.00,28.25
5-December-2022,2719.95,2719.95,2678.35,2682.85,2694.095022472663849198,208698,20747,562252243.00,107755,51.63,41.60,-37.10
2-December-2022,2726.25,2747.65,2701.00,2722.65,2724.293389692846475638,114503,9191,311939766.00,33680,29.41,46.65,-3.60
1-December-2022,2736.00,2754.70,2716.00,2722.95,2740.119533634626121188,245387,20390,672389712.00,131369,53.54,38.70,-13.05
30-November-2022,2715.00,2743.60,2699.10,2732.40,2724.009826554869937607,116521,9761,317404349.00,43532,37.36,44.50,17.40
29-November-2022,2704.10,2730.50,2693.40,2711.05,2711.977160228486344440,225659,21081,611982054.00,135214,59.92,37.10,6.95
28-November-2022,2601.35,2721.60,2585.00,2708.05,2688.029405618663122612,358911,23804,964763322.00,191413,53.33,136.60,106.70
25-November-2022,2583.05,2624.15,2581.35,2617.05,2605.353288984200621471,228490,20395,595297173.00,143293,62.71,42.80,34.00
24-November-2022,2566.00,2592.00,2548.35,2582.55,2563.652920622036565930,101023,7808,258987909.00,55446,54.88,43.65,16.55
23-November-2022,2579.00,2579.00,2552.15,2556.45,2560.826056225753308178,188170,8879,481870639.00,149423,79.41,26.85,-22.55
22-November-2022,2544.25,2568.00,2536.90,2564.30,2558.801234726943010315,201826,7845,516432618.00,142326,70.52,31.10,20.05
21-November-2022,2585.00,2589.30,2543.00,2550.05,2555.204759529610374661,104254,7858,266390317.00,60507,58.04,46.30,-34.95
18-November-2022,2606.00,2608.85,2572.00,2597.55,2588.569764664152363854,138143,11998,357592793.00,60174,43.56,36.85,-8.45
17-November-2022,2586.00,2613.00,2581.35,2601.30,2599.923625725839329197,181514,9381,471922537.00,131293,72.33,31.65,15.30
16-November-2022,2604.00,2615.05,2581.20,2591.85,2602.095846425934511238,116478,8062,303086920.00,58050,49.84,33.85,-12.15
15-November-2022,2618.05,2627.75,2590.05,2606.70,2612.900564644491807580,403971,10322,1055536054.00,336942,83.41,37.70,-11.35
14-November-2022,2625.00,2642.65,2605.55,2617.95,2631.228823050627414884,4751003,8727,12500976032.00,4691237,98.74,37.10,-7.05
