Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2022,112.55,114.70,112.10,112.65,113.507547769763253918,4484636,27546,509040035.00,2350041,52.40,2.60,0.10
29-December-2022,108.80,112.00,108.80,111.75,110.750012631292972279,2414638,12339,267421189.00,590382,24.45,3.20,2.95
28-December-2022,111.15,112.25,109.70,109.95,110.961198628532048731,3691519,22970,409615373.00,1481218,40.12,2.55,-1.20
27-December-2022,106.60,111.50,105.80,111.15,109.252591288588513472,5297075,34045,578719170.00,2300726,43.43,5.70,4.55
26-December-2022,102.00,105.60,101.60,105.00,104.321327743463217508,1652036,12210,172342589.00,540045,32.69,4.00,3.00
23-December-2022,105.80,106.50,101.90,102.20,103.936300857693654774,2389781,16510,248384997.00,806837,33.76,4.60,-3.60
22-December-2022,109.40,110.60,106.40,107.55,107.772043369963630322,2251051,12676,242600366.00,749986,33.32,4.20,-1.85
21-December-2022,111.65,111.95,108.75,109.35,110.323369422441335417,1579701,10864,174277937.00,414971,26.27,3.20,-2.30
20-December-2022,111.20,111.50,109.05,110.90,110.132563031057283610,1257515,7317,138493350.00,302862,24.08,2.45,-0.30
19-December-2022,110.75,112.10,110.75,111.75,111.449079163406579931,921499,6726,102700215.00,244851,26.57,1.35,1.00
16-December-2022,110.15,112.05,109.40,111.00,110.650765610254987114,2897166,18544,320573636.00,1146903,39.59,2.65,0.85
15-December-2022,112.75,113.50,110.70,110.95,111.774013927947672795,1493831,9901,166971487.00,549911,36.81,2.80,-1.80
14-December-2022,111.30,113.20,111.15,113.00,112.326761228400550030,1448648,7960,162721938.00,573477,39.59,2.05,1.70
13-December-2022,112.35,112.75,110.80,111.15,111.483714415415307792,2009016,17362,223972566.00,888353,44.22,1.95,-1.20
12-December-2022,110.00,112.10,108.70,111.75,110.777858126832338425,3114190,24047,344983298.00,1258721,40.42,3.40,1.75
9-December-2022,112.60,113.80,109.70,110.45,111.614448829451130417,3226905,22415,360169223.00,1633321,50.62,4.10,-2.15
8-December-2022,111.50,112.95,110.80,111.85,111.733611134175360816,3107262,16780,347185604.00,919467,29.59,2.15,0.35
7-December-2022,113.10,113.50,110.90,111.25,111.970911952536545916,1930243,9565,216131069.00,543119,28.14,2.60,-1.85
6-December-2022,115.60,115.60,112.25,112.90,113.440136135875395271,2856264,14012,324014977.00,784480,27.47,3.35,-2.70
5-December-2022,113.05,116.05,112.60,115.80,114.715417735096570444,9902771,52542,1136000512.00,5829857,58.87,3.45,2.75
2-December-2022,110.25,112.50,110.25,112.05,111.496481288954612049,3506966,13280,391014369.00,1046986,29.85,2.25,1.80
1-December-2022,108.20,111.30,108.00,110.70,109.702452001655921287,11872545,46813,1302447298.00,8675299,73.07,3.30,2.50
30-November-2022,106.10,107.90,105.90,107.70,107.271888381162917132,4451220,27607,477490775.00,2823766,63.44,2.00,1.60
29-November-2022,104.80,107.60,104.80,106.10,106.537049925629512510,4589186,19724,488918338.00,2419382,52.72,2.80,1.30
28-November-2022,105.90,106.40,104.55,104.90,105.025467482727545809,2663200,20714,279703825.00,1235382,46.39,1.85,-1.00
25-November-2022,105.55,106.50,105.10,106.20,105.954459460739879792,1266476,7021,134188780.00,433266,34.21,1.40,0.65
24-November-2022,105.65,105.95,104.60,105.45,105.277871433290411730,2049473,15853,215764155.00,926596,45.21,1.35,-0.20
23-November-2022,105.90,105.95,104.90,105.60,105.465636113034848065,1326989,5339,139951739.00,390556,29.43,1.05,-0.30
22-November-2022,104.25,105.40,103.55,105.15,104.425462896005813317,1417435,6854,148016306.00,380500,26.84,1.85,0.90
21-November-2022,107.90,107.90,103.90,104.20,105.466657826001501334,4222910,25213,445376204.00,1383076,32.75,4.00,-3.70
18-November-2022,105.85,106.30,104.70,105.50,105.448071783607132340,1973041,14885,208053369.00,,,1.60,-0.35
17-November-2022,106.00,106.75,104.50,105.85,105.381920435312347674,2476199,17620,260946606.00,817473,33.01,2.25,-0.15
16-November-2022,108.30,108.80,105.25,106.55,106.940364944597465810,1540453,9372,164736606.00,472640,30.68,3.55,-1.75
15-November-2022,108.80,109.35,107.25,108.50,107.917935450071562220,2855557,14157,308165816.00,965480,33.81,2.10,-0.30
14-November-2022,108.15,110.00,108.15,108.65,109.094714109538629080,2600489,13743,283699604.00,785981,30.22,1.85,0.50
11-November-2022,106.20,108.20,106.15,107.50,107.323167334493852032,3403076,13124,365228895.00,1425066,41.88,2.05,1.30
10-November-2022,105.05,106.00,104.45,104.65,105.242585347933619955,3073273,17236,323439196.00,1220422,39.71,1.55,-0.40
9-November-2022,107.00,107.50,105.55,106.15,106.312673923064229800,2405877,10485,255775217.00,668110,27.77,1.95,-0.85
7-November-2022,105.10,107.40,104.55,106.65,106.476983515278358120,8160890,44272,868946950.00,4911661,60.19,2.85,1.55
4-November-2022,102.25,105.00,102.25,104.75,103.764912658002734979,8220902,44681,853041178.00,5303831,64.52,2.75,2.50
3-November-2022,100.60,102.60,100.05,102.20,101.680927084695480971,2317113,8289,235606198.00,625258,26.98,2.55,1.60
2-November-2022,100.90,102.90,100.80,101.20,101.925318532866971441,4184733,20953,426530244.00,1940909,46.38,2.10,0.30
1-November-2022,98.15,101.45,98.15,101.20,100.176887581465477393,6014204,34675,602484238.00,2428766,40.38,3.30,3.05
31-October-2022,101.70,102.15,100.30,101.55,101.221785635978782435,1897296,11154,192047689.00,586549,30.91,1.85,-0.15
28-October-2022,104.05,104.50,100.80,101.55,101.919496122984453926,3814661,25476,388788327.00,1586746,41.60,3.70,-2.50
27-October-2022,102.05,104.65,102.05,104.20,103.833369100568455785,3699848,15410,384167683.00,1305255,35.28,2.60,2.15
25-October-2022,101.00,102.50,100.65,101.15,101.504414594865532122,3108326,17665,315508811.00,1266399,40.74,1.85,0.15
24-October-2022,102.00,102.00,101.00,101.20,101.332427240766916748,496638,8414,50325534.00,,,1.00,-0.80
21-October-2022,100.65,101.45,99.35,100.15,100.288244345963928274,2488930,18115,249610420.00,801835,32.22,2.10,-0.50
20-October-2022,99.50,101.10,98.80,100.90,100.049113754744619500,3573785,21505,357554022.00,1036688,29.01,2.30,1.40
19-October-2022,100.60,101.20,99.70,100.05,100.583170787474095259,2331137,8139,234473151.00,558571,23.96,1.50,-0.55
18-October-2022,100.10,101.00,99.80,100.60,100.521525468450133731,2827302,17198,284204710.00,1189618,42.08,1.20,0.50
17-October-2022,99.85,100.40,98.10,99.55,99.955437561088285303,12754082,25318,1274839847.00,10507943,82.39,2.30,-0.30
14-October-2022,101.60,102.70,99.85,100.10,101.344910995131827309,3020846,20087,306147369.00,1297315,42.95,2.85,-1.50
