"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"BHARTIARTL","EQ","01-Jan-2020","        455.80","        456.05","        460.50","        449.75","        453.70","        453.30","        454.52","    5059995","          2299887461.40","      67334"
"BHARTIARTL","EQ","02-Jan-2020","        453.30","        454.10","        459.40","        453.50","        455.30","        455.20","        455.54","    4842142","          2205786807.10","      78890"
"BHARTIARTL","EQ","03-Jan-2020","        455.20","        455.70","        459.20","        451.50","        457.15","        455.10","        454.80","    5059594","          2301088400.05","      97228"
"BHARTIARTL","EQ","06-Jan-2020","        455.10","        453.90","        457.45","        444.65","        448.50","        449.65","        449.90","    7399981","          3329261288.85","      73742"
"BHARTIARTL","EQ","07-Jan-2020","        449.65","        452.00","        455.30","        443.10","        445.05","        445.10","        448.34","    4273646","          1916057156.75","      52718"
"BHARTIARTL","EQ","08-Jan-2020","        445.10","        442.60","        460.75","        440.35","        458.90","        458.85","        450.78","   13858623","          6247253976.95","     126722"
"BHARTIARTL","EQ","09-Jan-2020","        458.85","        468.40","        474.95","        455.30","        460.15","        460.10","        462.98","   17845812","          8262208879.25","     143721"
"BHARTIARTL","EQ","10-Jan-2020","        460.10","        464.80","        465.95","        454.20","        457.75","        457.00","        461.25","   37029733","         17079783925.80","     198967"
"BHARTIARTL","EQ","13-Jan-2020","        457.00","        459.00","        470.30","        454.25","        468.60","        468.90","        463.13","   14925989","          6912694440.35","      97122"
"BHARTIARTL","EQ","14-Jan-2020","        468.90","        468.90","        472.65","        466.60","        470.00","        469.35","        469.94","    8086659","          3800217823.05","      85434"
"BHARTIARTL","EQ","15-Jan-2020","        469.35","        469.50","        472.00","        465.00","        468.00","        467.85","        468.32","   10674839","          4999266953.75","      95177"
"BHARTIARTL","EQ","16-Jan-2020","        467.85","        469.20","        476.95","        468.00","        473.90","        473.90","        473.28","   15990374","          7567876635.45","     153554"
"BHARTIARTL","EQ","17-Jan-2020","        473.90","        475.10","        503.80","        475.10","        499.80","        500.05","        496.57","   60774623","         30178603183.35","     428688"
