"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"LT","EQ","01-Jan-2020","       1298.20","       1308.40","       1318.90","       1303.00","       1310.15","       1309.95","       1310.91","    3123998","          4095285792.00","      73190"
"LT","EQ","02-Jan-2020","       1309.95","       1312.00","       1348.00","       1311.00","       1344.90","       1345.30","       1334.29","    4335359","          5784605679.80","     135378"
"LT","EQ","03-Jan-2020","       1345.30","       1344.95","       1344.95","       1330.15","       1335.00","       1335.05","       1335.87","    2059871","          2751728346.35","      77644"
"LT","EQ","06-Jan-2020","       1335.05","       1331.00","       1332.00","       1314.10","       1315.50","       1316.75","       1320.73","    2646905","          3495835370.75","     118803"
"LT","EQ","07-Jan-2020","       1316.75","       1328.00","       1339.50","       1313.75","       1321.15","       1320.50","       1325.68","    2077893","          2754627478.95","      70374"
"LT","EQ","08-Jan-2020","       1320.50","       1302.00","       1308.70","       1283.35","       1291.50","       1291.55","       1294.04","    4147568","          5367114665.25","     145613"
"LT","EQ","09-Jan-2020","       1291.55","       1311.00","       1319.90","       1305.10","       1316.10","       1316.15","       1314.28","    2067779","          2717633752.15","      98843"
"LT","EQ","10-Jan-2020","       1316.15","       1319.00","       1335.95","       1319.00","       1323.85","       1324.60","       1327.14","    2360798","          3133116385.45","      93096"
"LT","EQ","13-Jan-2020","       1324.60","       1329.00","       1339.40","       1328.70","       1334.50","       1334.70","       1335.00","    1825244","          2436705105.55","      62542"
"LT","EQ","14-Jan-2020","       1334.70","       1329.80","       1331.00","       1315.10","       1326.00","       1326.10","       1323.19","    2046500","          2707912961.10","     103923"
"LT","EQ","15-Jan-2020","       1326.10","       1325.60","       1336.15","       1320.00","       1323.50","       1323.60","       1326.80","    2127677","          2822996058.20","      67695"
"LT","EQ","16-Jan-2020","       1323.60","       1327.70","       1332.90","       1317.40","       1319.00","       1319.30","       1324.35","    1773135","          2348249751.45","      76644"
"LT","EQ","17-Jan-2020","       1319.30","       1320.60","       1325.95","       1302.00","       1304.00","       1304.20","       1311.60","    2941837","          3858522733.70","     158742"
"LT","EQ","20-Jan-2020","       1304.20","       1313.95","       1319.90","       1306.50","       1311.10","       1309.60","       1312.97","    2542477","          3338194233.20","     112596"
"LT","EQ","21-Jan-2020","       1309.60","       1304.75","       1313.90","       1300.45","       1302.10","       1302.35","       1306.33","    1361576","          1778665780.05","      74036"
"LT","EQ","22-Jan-2020","       1302.35","       1311.00","       1312.00","       1292.00","       1294.90","       1294.20","       1300.14","    2449753","          3185017009.35","      95993"
"LT","EQ","23-Jan-2020","       1294.20","       1307.00","       1339.85","       1306.00","       1330.45","       1332.30","       1329.21","   10056067","         13366614466.30","     219420"
"LT","EQ","24-Jan-2020","       1332.30","       1332.00","       1367.85","       1332.00","       1352.00","       1359.20","       1353.21","    5837319","          7899134907.10","     146118"
"LT","EQ","27-Jan-2020","       1359.20","       1340.00","       1364.90","       1340.00","       1347.00","       1348.60","       1354.47","    2510013","          3399734895.50","      71639"
"LT","EQ","28-Jan-2020","       1348.60","       1350.90","       1355.00","       1338.00","       1345.00","       1346.65","       1344.91","    2352852","          3164366798.95","     118120"
"LT","EQ","29-Jan-2020","       1346.65","       1353.10","       1374.95","       1352.10","       1365.05","       1365.70","       1366.37","    3678474","          5026143215.85","     108090"
"LT","EQ","30-Jan-2020","       1365.70","       1365.95","       1376.80","       1353.00","       1365.00","       1370.20","       1364.75","    2743506","          3744192660.65","      76783"
"LT","EQ","31-Jan-2020","       1370.20","       1375.95","       1377.00","       1360.45","       1370.00","       1369.30","       1370.07","    3939306","          5397131739.55","     127379"
"LT","EQ","01-Feb-2020","       1369.30","       1372.60","       1383.70","       1280.00","       1286.60","       1287.40","       1329.24","    8300700","         11033602066.60","     292918"
"LT","EQ","03-Feb-2020","       1287.40","       1290.00","       1303.90","       1272.00","       1287.05","       1286.65","       1286.44","    5767353","          7419334019.75","     248556"
"LT","EQ","04-Feb-2020","       1286.65","       1296.00","       1307.30","       1287.55","       1293.00","       1291.75","       1297.18","    3604309","          4675444393.40","     117966"
"LT","EQ","05-Feb-2020","       1291.75","       1297.90","       1325.00","       1295.00","       1311.00","       1310.05","       1312.90","    4220104","          5540590477.70","     111767"
"LT","EQ","06-Feb-2020","       1310.05","       1322.90","       1325.00","       1309.05","       1317.00","       1317.60","       1317.41","    2354458","          3101777127.25","      85894"
"LT","EQ","07-Feb-2020","       1317.60","       1313.05","       1314.40","       1296.00","       1298.50","       1299.00","       1301.73","    3053804","          3975235373.35","      89067"
"LT","EQ","10-Feb-2020","       1299.00","       1300.00","       1302.45","       1273.10","       1283.00","       1285.30","       1283.99","    3039992","          3903326825.65","     120243"
"LT","EQ","11-Feb-2020","       1285.30","       1292.00","       1298.95","       1284.00","       1286.25","       1286.90","       1291.89","    2200796","          2843181938.60","     114602"
"LT","EQ","12-Feb-2020","       1286.90","       1289.10","       1299.85","       1280.00","       1299.00","       1297.30","       1290.13","    2568696","          3313956652.35","     127830"
"LT","EQ","13-Feb-2020","       1297.30","       1299.00","       1299.85","       1285.00","       1291.00","       1292.25","       1290.74","    1545536","          1994890125.50","      79219"
"LT","EQ","14-Feb-2020","       1292.25","       1295.00","       1304.95","       1290.60","       1293.20","       1295.15","       1297.12","    1780119","          2309029492.15","      79043"
"LT","EQ","17-Feb-2020","       1295.15","       1297.00","       1297.85","       1277.00","       1281.50","       1280.20","       1285.41","    2155085","          2770159578.60","      70230"
"LT","EQ","18-Feb-2020","       1280.20","       1281.50","       1289.80","       1266.45","       1288.00","       1286.35","       1276.29","    2347917","          2996630868.05","      96379"
"LT","EQ","19-Feb-2020","       1286.35","       1298.00","       1299.00","       1276.60","       1281.50","       1281.40","       1282.49","    1820353","          2334586934.80","      77257"
"LT","EQ","20-Feb-2020","       1281.40","       1279.90","       1288.90","       1275.30","       1282.00","       1280.60","       1281.55","    3034681","          3889107814.90","     131459"
"LT","EQ","24-Feb-2020","       1280.60","       1271.90","       1271.90","       1252.65","       1259.90","       1259.70","       1261.31","    3414064","          4306202666.70","     165366"
"LT","EQ","25-Feb-2020","       1259.70","       1262.20","       1265.65","       1240.15","       1241.85","       1242.05","       1247.67","    3133077","          3909047122.35","     131233"
"LT","EQ","26-Feb-2020","       1242.05","       1235.00","       1238.00","       1206.00","       1214.90","       1211.15","       1219.79","    5721483","          6979027568.55","     161455"
"LT","EQ","27-Feb-2020","       1211.15","       1212.35","       1216.95","       1200.00","       1208.70","       1210.35","       1207.28","    4003149","          4832906531.80","     141145"
"LT","EQ","28-Feb-2020","       1210.35","       1189.65","       1196.45","       1162.00","       1191.10","       1187.55","       1178.90","    6286647","          7411302885.80","     218919"
"LT","EQ","02-Mar-2020","       1187.55","       1205.00","       1212.35","       1150.55","       1153.90","       1160.90","       1183.81","    3177486","          3761531946.55","     109785"
"LT","EQ","03-Mar-2020","       1160.90","       1166.00","       1186.80","       1162.05","       1183.15","       1181.30","       1174.87","    3134527","          3682673621.60","      91823"
"LT","EQ","04-Mar-2020","       1181.30","       1185.00","       1187.85","       1158.00","       1175.90","       1176.65","       1175.29","    3135151","          3684710472.75","     115524"
"LT","EQ","05-Mar-2020","       1176.65","       1180.10","       1187.25","       1166.20","       1180.50","       1182.45","       1179.10","    2625152","          3095317673.90","      99673"
"LT","EQ","06-Mar-2020","       1182.45","       1148.00","       1164.00","       1130.85","       1154.85","       1158.90","       1145.21","    3956575","          4531107106.60","     146183"
"LT","EQ","09-Mar-2020","       1158.90","       1135.80","       1135.80","       1067.30","       1101.00","       1101.95","       1094.26","    8038432","          8796146953.45","     244516"
"LT","EQ","11-Mar-2020","       1101.95","       1090.00","       1120.95","       1085.80","       1119.00","       1116.95","       1110.74","    5628178","          6251463448.65","     212206"
"LT","EQ","12-Mar-2020","       1116.95","       1070.00","       1070.05","       1004.10","       1020.00","       1016.55","       1032.32","    9200492","          9497883360.20","     294935"
"LT","EQ","13-Mar-2020","       1016.55","        950.00","       1060.45","        890.00","       1060.00","       1051.45","       1001.53","    8117968","          8130374172.60","     300693"
"LT","EQ","16-Mar-2020","       1051.45","       1014.25","       1042.00","        961.90","        968.00","        968.70","        998.65","    6672579","          6663538125.85","     316173"
"LT","EQ","17-Mar-2020","        968.70","        972.00","       1005.00","        940.15","        953.00","        956.75","        974.73","    4720357","          4601054980.65","     186154"
"LT","EQ","18-Mar-2020","        956.75","        968.00","        974.75","        900.00","        912.00","        904.55","        931.06","    5586629","          5201494538.80","     211669"
"LT","EQ","19-Mar-2020","        904.55","        873.90","        884.00","        837.70","        839.00","        843.10","        859.14","    7252149","          6230612555.85","     311401"
"LT","EQ","20-Mar-2020","        843.10","        849.00","        877.80","        831.30","        852.00","        864.70","        854.10","    6130498","          5236035985.80","     222198"
"LT","EQ","23-Mar-2020","        864.70","        809.00","        809.95","        706.00","        721.00","        724.05","        745.22","    7310033","          5447578090.30","     290747"
"LT","EQ","24-Mar-2020","        724.05","        755.00","        755.75","        672.00","        710.00","        707.90","        707.20","    7113438","          5030656705.30","     263108"
"LT","EQ","25-Mar-2020","        707.90","        697.20","        775.00","        661.00","        769.00","        765.75","        698.45","   16122626","         11260788751.70","     321286"
"LT","EQ","26-Mar-2020","        765.75","        787.75","        842.30","        754.15","        842.30","        838.00","        807.95","    9028697","          7294776748.75","     243919"
"LT","EQ","27-Mar-2020","        838.00","        867.90","        890.00","        812.00","        841.00","        837.05","        845.61","    6573602","          5558692747.30","     202101"
"LT","EQ","30-Mar-2020","        837.05","        801.00","        815.00","        791.00","        799.00","        798.65","        802.54","    4474168","          3590702996.40","     176856"
"LT","EQ","31-Mar-2020","        798.65","        820.00","        823.00","        791.20","        810.10","        808.50","        806.85","    8045539","          6491572373.00","     160157"
"LT","EQ","01-Apr-2020","        808.50","        806.85","        812.40","        766.55","        775.55","        774.35","        782.06","    4104461","          3209931139.15","     207097"
"LT","EQ","03-Apr-2020","        774.35","        791.10","        791.10","        762.80","        783.00","        774.65","        773.33","    4268501","          3300974780.15","     186484"
"LT","EQ","07-Apr-2020","        774.65","        805.00","        813.00","        791.00","        802.20","        801.65","        804.35","    5769216","          4640457107.50","     189036"
"LT","EQ","08-Apr-2020","        801.65","        804.00","        832.00","        797.70","        808.00","        807.10","        813.47","    6151093","          5003753118.95","     166115"
"LT","EQ","09-Apr-2020","        807.10","        834.35","        834.35","        804.40","        805.00","        812.80","        816.43","    6410629","          5233849142.20","     185106"
"LT","EQ","13-Apr-2020","        812.80","        812.80","        872.40","        807.95","        864.40","        865.45","        847.08","    9462929","          8015897401.95","     264873"
"LT","EQ","15-Apr-2020","        865.45","        890.95","        926.60","        869.00","        876.90","        880.15","        902.16","   10435586","          9414619740.50","     295558"
"LT","EQ","16-Apr-2020","        880.15","        875.95","        919.80","        870.15","        909.00","        911.65","        908.80","    6980628","          6344020336.45","     206450"
"LT","EQ","17-Apr-2020","        911.65","        930.00","        940.00","        916.00","        935.00","        932.90","        927.60","    5827735","          5405801563.70","     185080"
"LT","EQ","20-Apr-2020","        932.90","        940.80","        943.00","        911.00","        918.00","        915.60","        928.59","    4958437","          4604352916.75","     158851"
"LT","EQ","21-Apr-2020","        915.60","        897.00","        906.60","        863.00","        875.00","        870.35","        882.81","    5122597","          4522272754.80","     164745"
"LT","EQ","22-Apr-2020","        870.35","        873.00","        885.50","        850.00","        855.50","        852.60","        866.49","    6090177","          5277102093.50","     235279"
"LT","EQ","23-Apr-2020","        852.60","        860.00","        869.50","        835.00","        843.35","        840.60","        853.02","    6322048","          5392858863.75","     227895"
"LT","EQ","24-Apr-2020","        840.60","        838.00","        869.00","        834.15","        851.00","        851.20","        855.24","    7960660","          6808249623.05","     220618"
"LT","EQ","27-Apr-2020","        851.20","        861.95","        874.90","        852.25","        857.00","        855.25","        863.75","    4224467","          3648901066.00","     142648"
"LT","EQ","28-Apr-2020","        855.25","        863.80","        867.70","        852.10","        856.70","        857.15","        859.19","    3773038","          3241763427.75","     108569"
"LT","EQ","29-Apr-2020","        857.15","        862.00","        883.05","        854.00","        871.45","        875.35","        869.91","    4841417","          4211605822.85","     152437"
"LT","EQ","30-Apr-2020","        875.35","        890.20","        916.80","        884.10","        897.95","        897.55","        902.78","    6333023","          5717300260.45","     162674"
"LT","EQ","04-May-2020","        897.55","        880.00","        880.00","        845.00","        852.00","        850.65","        853.65","    4678679","          3993975199.35","     188413"
"LT","EQ","05-May-2020","        850.65","        861.00","        869.80","        835.00","        840.00","        836.90","        850.68","    4296534","          3654961282.00","     119699"
"LT","EQ","06-May-2020","        836.90","        838.00","        848.00","        817.60","        839.00","        837.30","        834.11","    5081614","          4238612247.70","     160333"
"LT","EQ","07-May-2020","        837.30","        833.00","        836.05","        820.10","        825.40","        822.85","        827.29","    3529156","          2919626120.30","     138162"
"LT","EQ","08-May-2020","        822.85","        833.00","        834.85","        810.00","        816.50","        815.95","        820.16","    4394534","          3604218110.95","     145863"
"LT","EQ","11-May-2020","        815.95","        821.20","        827.50","        816.35","        822.00","        821.60","        821.97","    2882960","          2369704778.35","     133688"
"LT","EQ","12-May-2020","        821.60","        817.00","        819.25","        804.00","        816.00","        814.80","        810.07","    3024386","          2449978487.85","     112515"
"LT","EQ","13-May-2020","        814.80","        863.70","        871.95","        850.50","        866.00","        862.90","        862.19","    8625530","          7436842490.20","     280407"
"LT","EQ","14-May-2020","        862.90","        858.90","        879.60","        841.50","        879.00","        871.65","        857.63","    6778688","          5813637673.35","     212650"
"LT","EQ","15-May-2020","        871.65","        881.95","        885.00","        854.00","        861.25","        864.40","        868.05","    5654025","          4907991509.75","     151401"
"LT","EQ","18-May-2020","        864.40","        869.90","        870.00","        810.00","        816.00","        813.35","        827.92","    6211450","          5142609658.75","     189719"
"LT","EQ","19-May-2020","        813.35","        827.10","        833.80","        791.70","        801.00","        796.35","        814.75","    5533176","          4508139053.30","     188008"
"LT","EQ","20-May-2020","        796.35","        800.00","        841.00","        800.00","        838.35","        835.00","        824.37","    5950015","          4904994064.65","     237183"
"LT","EQ","21-May-2020","        835.00","        835.95","        845.00","        818.10","        821.00","        820.50","        825.44","    4701980","          3881193234.25","     142535"
"LT","EQ","22-May-2020","        820.50","        815.00","        826.50","        810.10","        817.75","        815.70","        817.03","    4609134","          3765814408.75","     131973"
"LT","EQ","26-May-2020","        815.70","        821.90","        842.70","        821.00","        827.65","        825.55","        833.46","    4335430","          3613425513.85","     106351"
"LT","EQ","27-May-2020","        825.55","        831.95","        857.20","        827.00","        851.60","        850.85","        845.67","    5159303","          4363061558.30","     119231"
"LT","EQ","28-May-2020","        850.85","        855.00","        912.00","        855.00","        900.00","        905.50","        892.13","   11481632","         10243089056.80","     271439"
"LT","EQ","29-May-2020","        905.50","        893.20","        937.50","        891.00","        930.00","        932.25","        920.49","   10166680","          9358329902.95","     222010"
"LT","EQ","01-Jun-2020","        932.25","        944.65","        974.15","        924.00","        926.05","        928.15","        952.14","    7617393","          7252827824.30","     211889"
"LT","EQ","02-Jun-2020","        928.15","        935.00","        953.00","        913.05","        944.85","        945.45","        935.26","    7325689","          6851404009.80","     172436"
"LT","EQ","03-Jun-2020","        945.45","        955.95","        972.85","        955.00","        962.00","        961.30","        964.16","    4651583","          4484878363.20","     151556"
"LT","EQ","04-Jun-2020","        961.30","        961.05","        968.00","        928.60","        931.45","        930.70","        941.67","    5355971","          5043544061.20","     160665"
"LT","EQ","05-Jun-2020","        930.70","        940.00","        959.90","        936.60","        957.55","        955.25","        950.73","    6071134","          5771980267.90","     158050"
"LT","EQ","08-Jun-2020","        955.25","        979.50","        995.00","        949.00","        958.10","        961.35","        966.82","    9859059","          9531902563.30","     272871"
"LT","EQ","09-Jun-2020","        961.35","        964.50","        970.25","        949.70","        951.00","        953.30","        961.35","    5118269","          4920429058.65","     139593"
"LT","EQ","10-Jun-2020","        953.30","        957.00","        959.50","        935.70","        946.80","        946.55","        944.05","    5176121","          4886528830.00","     156984"
